Rank,Company,Sector,Industry,Revenue,Profits,Employees
803,TriNet Group,Business Services,Diversified Outsourcing Services,2659,32,2500
804,Pinnacle Foods,"Food, Beverages & Tobacco",Food Consumer Products,2656,213,4300
805,Plexus,Technology,Semiconductors and Other Electronic Components,2654,94,14000
806,Kennametal,Industrials,Industrial Machinery,2647,-374,12700
807,Chico’s FAS,Retailing,Specialty Retailers: Apparel,2642,2,14755
808,Kar Auction Services,Wholesalers,Wholesalers: Diversified,2640,215,12528
809,GNC Holdings,Food and Drug Stores,Food and Drug Stores,2639,219,11650
810,Crestwood Equity Partners,Energy,Energy,2633,-1667,1300
811,WABCO Holdings,Motor Vehicles & Parts,Motor Vehicles and Parts,2628,275,12429
812,DSW,Retailing,Specialty Retailers: Apparel,2620,136,11900
813,Valmont Industries,Industrials,Construction and Farm Machinery,2619,40,10697
814,Greenbrier Cos.,Transportation,Transportation Equipment,2605,193,10689
815,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,2604,144,2924
816,Insperity,Business Services,Diversified Outsourcing Services,2604,39,2400
817,Hawaiian Electric Industries,Energy,Utilities: Gas and Electric,2603,160,3918
818,Alere,Health Care,Medical Products and Equipment,2601,346,9800
819,ServiceMaster Global Holdings,Business Services,Diversified Outsourcing Services,2594,160,13000
820,Apollo Education Group,Business Services,Education,2591,30,23400
821,AMC Networks,Media,Entertainment,2581,367,2341
822,Meritage Homes,Engineering & Construction,Homebuilders,2580,129,1409
823,Hyster-Yale Materials Handling,Industrials,Industrial Machinery,2578,75,5400
824,Caleres,Retailing,Specialty Retailers: Apparel,2577,82,11000
825,PC Connection,Retailing,Specialty Retailers: Other,2574,47,2155
826,Arch Coal,Energy,"Mining, Crude-Oil Production",2573,-2913,4655
827,Mattress Firm Holding,Retailing,Specialty Retailers: Other,2547,65,7186
828,HCP,Financials,Real estate,2544,-559,187
829,Platform Specialty Products,Chemicals,Chemicals,2542,-309,8200
830,Benchmark Electronics,Technology,Semiconductors and Other Electronic Components,2541,95,10500
831,A.O. Smith,Industrials,"Electronics, Electrical Equip.",2537,283,13386
832,Lincoln Electric Holdings,Industrials,Industrial Machinery,2536,128,10000
833,Vornado Realty Trust,Financials,Real estate,2530,760,4089
834,Teradata,Technology,Computer Software,2530,-214,11300
835,Nortek,Industrials,Industrial Machinery,2526,-27,11400
836,Moog,Aerospace & Defense,Aerospace and Defense,2526,132,10691
837,Beacon Roofing Supply,Wholesalers,Wholesalers: Diversified,2515,62,3366
838,National General Holdings,Financials,Insurance: Property and Casualty (Stock),2511,142,4630
839,Aretec Group,Financials,Securities,2509,-509,2116
840,J.Crew Group,Retailing,Specialty Retailers: Apparel,2506,-1243,10450
841,EnerSys,Industrials,"Electronics, Electrical Equip.",2506,181,9500
842,Autodesk,Technology,Computer Software,2504,-331,9500
843,Great Plains Energy,Energy,Utilities: Gas and Electric,2502,213,2899
844,Mutual of America Life Insurance,Financials,"Insurance: Life, Health (Mutual)",2495,65,1093
845,Edwards Lifesciences,Health Care,Medical Products and Equipment,2494,495,9800
846,Boston Properties,Financials,Real estate,2491,583,765
847,ITT,Industrials,Industrial Machinery,2486,352,9700
848,Affiliated Managers Group,Financials,Securities,2485,516,3200
849,Tops Holding,Food and Drug Stores,Food and Drug Stores,2472,-62,14800
850,United Refining,Energy,Petroleum Refining,2470,82,2997
851,Southwest Gas,Energy,Utilities: Gas and Electric,2464,138,5876
852,Medical Mutual of Ohio,Financials,"Insurance: Life, Health (Mutual)",2462,120,2186
853,Westar Energy,Energy,Utilities: Gas and Electric,2459,292,2330
854,Ciena,Technology,Network and Other Communications Equipment,2446,12,5345
855,Vectren,Energy,Utilities: Gas and Electric,2435,197,5600
856,Edgewell Personal Care,Household Products,Household and Personal Products,2421,-275,6000
857,Armstrong World Industries,Materials,"Building Materials, Glass",2420,94,7600
858,Kansas City Southern,Transportation,Railroads,2419,484,6670
859,Enable Midstream Partners,Energy,Pipelines,2418,-752,1640
860,Cliffs Natural Resources,Energy,"Mining, Crude-Oil Production",2418,-749,2638
861,General Growth Properties,Financials,Real estate,2404,1375,1700
862,California Resources,Energy,"Mining, Crude-Oil Production",2403,-3554,1700
863,TRI Pointe Group,Engineering & Construction,Homebuilders,2401,206,1036
864,Mettler-Toledo International,Technology,"Scientific,Photographic and Control Equipment",2395,353,13000
865,A. Schulman,Chemicals,Chemicals,2392,27,5000
866,Toro,Industrials,Construction and Farm Machinery,2391,202,6874
867,SPX FLOW,Industrials,Industrial Machinery,2389,88,8000
868,Intuitive Surgical,Health Care,Medical Products and Equipment,2384,589,3211
869,West,Business Services,Diversified Outsourcing Services,2383,242,10630
870,Public Storage,Business Services,Miscellaneous,2382,1311,5300
871,Xilinx,Technology,Semiconductors and Other Electronic Components,2377,648,3451
872,Stifel Financial,Financials,Securities,2377,92,7100
873,Donaldson,Industrials,Industrial Machinery,2371,208,12500
874,Granite Construction,Engineering & Construction,"Engineering, Construction",2371,61,3200
875,Pool,Wholesalers,Wholesalers: Diversified,2363,128,3800
876,Express,Retailing,Specialty Retailers: Apparel,2350,117,10710
877,G-III Apparel Group,Apparel,Apparel,2344,114,8919
878,Kemper,Financials,Insurance: Property and Casualty (Stock),2341,86,5600
879,EQT,Energy,Energy,2340,85,1914
880,Nationstar Mortgage Holdings,Financials,Diversified Financials,2339,39,6740
881,Parexel International,Health Care,Health Care: Pharmacy and Other Services,2330,148,18660
882,Columbia Sportswear,Apparel,Apparel,2326,174,5978
883,inVentiv Health,Health Care,Health Care: Pharmacy and Other Services,2321,-152,14000
884,Hawaiian Holdings,Transportation,Airlines,2318,183,5548
885,AptarGroup,Materials,"Packaging, Containers",2317,199,13000
886,IHS Markit,Business Services,Financial Data Services,2314,240,8600
887,Belden,Industrials,"Electronics, Electrical Equip.",2309,66,8200
888,Maxim Integrated Products,Technology,Semiconductors and Other Electronic Components,2307,206,8250
889,Coca-Cola Bottling,"Food, Beverages & Tobacco",Beverages,2307,59,8550
890,HNI,Household Products,"Home Equipment, Furnishings",2304,105,10200
891,Vishay Intertechnology,Technology,Semiconductors and Other Electronic Components,2301,-109,22400
892,Tetra Tech,Engineering & Construction,"Engineering, Construction",2299,39,13000
893,Teledyne Technologies,Technology,"Scientific,Photographic and Control Equipment",2298,196,9200
894,Party City Holdco,Retailing,Specialty Retailers: Other,2295,11,12888
895,Pinnacle Entertainment,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",2292,49,14726
896,Trimble Navigation,Technology,"Scientific,Photographic and Control Equipment",2290,121,8451
897,Penn Mutual Life Insurance,Financials,"Insurance: Life, Health (stock)",2290,209,1022
898,MPM Holdings,Chemicals,Chemicals,2289,-83,5000
899,Sears Hometown & Outlet Stores,Retailing,Specialty Retailers: Other,2288,-27,2918
900,Tupperware Brands,Household Products,Household and Personal Products,2284,186,13000
901,Alliance Holdings,Energy,"Mining, Crude-Oil Production",2273,211,4243
902,Universal,"Food, Beverages & Tobacco",Tobacco,2272,115,27000
903,Curtiss-Wright,Aerospace & Defense,Aerospace and Defense,2264,146,8400
904,Brocade Communications Systems,Technology,Network and Other Communications Equipment,2264,340,4640
905,PerkinElmer,Technology,"Scientific,Photographic and Control Equipment",2263,212,8000
906,Wayfair,Technology,Internet Services and Retailing,2250,-77,3809
907,Nu Skin Enterprises,Household Products,Household and Personal Products,2247,133,26800
908,Genesis Energy,Energy,Pipelines,2247,423,1400
909,Synopsys,Technology,Computer Software,2242,226,10284
910,Amica Mutual Insurance,Financials,Insurance: Property and Casualty (Mutual),2231,63,3512
911,Carpenter Technology,Materials,Metals,2227,59,4900
912,Illumina,Technology,"Scientific,Photographic and Control Equipment",2220,462,4600
913,Sinclair Broadcast Group,Media,Entertainment,2219,172,8000
914,Twitter,Technology,Internet Services and Retailing,2218,-521,3898
915,Domino’s Pizza,"Hotels, Resturants & Leisure",Food Services,2217,193,11900
916,Zions Bancorp.,Financials,Commercial Banks,2211,310,10200
917,Guess,Apparel,Apparel,2204,82,13500
918,Boyd Gaming,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",2199,47,18243
919,Akamai Technologies,Technology,Computer Software,2197,321,6084
920,Prologis,Financials,Real estate,2197,869,1555
921,OGE Energy,Energy,Utilities: Gas and Electric,2197,271,2586
922,Outerwall,Retailing,Specialty Retailers: Other,2195,44,2670
923,OneMain Holdings,Financials,Diversified Financials,2192,-242,11400
924,Magellan Midstream Partners,Energy,Pipelines,2189,819,1640
925,Knights of Columbus,Financials,"Insurance: Life, Health (Mutual)",2180,68,929
926,Symetra Financial,Financials,"Insurance: Life, Health (stock)",2179,147,1400
927,Gartner,Technology,Information Technology Services,2163,176,7834
928,Fred’s,Food and Drug Stores,Food and Drug Stores,2151,-7,7103
929,Hovnanian Enterprises,Engineering & Construction,Homebuilders,2149,-16,2078
930,Kirby,Transportation,Miscellaneous,2148,227,4200
931,Microchip Technology,Technology,Semiconductors and Other Electronic Components,2147,369,9449
932,Herman Miller,Household Products,"Home Equipment, Furnishings",2142,98,7510
933,Spirit Airlines,Transportation,Airlines,2142,317,4326
934,NewMarket,Chemicals,Chemicals,2141,239,1979
935,VCA,Health Care,Health Care: Medical Facilities,2134,211,12700
936,Selective Insurance Group,Financials,Insurance: Property and Casualty (Stock),2132,166,2200
937,hhgregg,Retailing,Specialty Retailers: Other,2129,-133,4941
938,Popular,Financials,Commercial Banks,2123,895,7810
939,Waste Connections,Business Services,Waste Management,2117,-96,7227
940,Restoration Hardware,Retailing,Specialty Retailers: Other,2109,91,4200
941,Cheesecake Factory,"Hotels, Resturants & Leisure",Food Services,2101,117,37600
942,Mueller Industries,Industrials,Industrial Machinery,2100,88,4104
943,Maximus,Technology,Information Technology Services,2100,158,17000
944,TTM Technologies,Technology,Semiconductors and Other Electronic Components,2096,-26,29570
945,Werner Enterprises,Transportation,"Trucking, Truck Leasing",2094,124,12325
946,Engility Holdings,Technology,Information Technology Services,2086,-235,9800
947,Rexnord,Industrials,Industrial Machinery,2084,84,8000
948,NuStar Energy,Energy,Pipelines,2084,307,1644
949,H.B. Fuller,Chemicals,Chemicals,2084,87,4425
950,Vista Outdoor,Household Products,Miscellaneous,2083,80,5200
951,On Assignment,Business Services,Temporary Help,2077,98,3320
952,Verisk Analytics,Business Services,Financial Data Services,2068,508,7783
953,Par Pacific Holdings,Energy,Petroleum Refining,2066,-40,744
954,Alliance One International,"Food, Beverages & Tobacco",Tobacco,2066,-15,6835
955,Whiting Petroleum,Energy,"Mining, Crude-Oil Production",2051,-2219,1200
956,Waters,Technology,"Scientific,Photographic and Control Equipment",2042,469,6594
957,Tower International,Motor Vehicles & Parts,Motor Vehicles and Parts,2042,194,8300
958,Woodward,Aerospace & Defense,Aerospace and Defense,2038,182,6955
959,Stewart Information Services,Financials,Insurance: Property and Casualty (Stock),2034,-6,6900
960,PharMerica,Health Care,Health Care: Pharmacy and Other Services,2029,35,5200
961,Wabash National,Motor Vehicles & Parts,Motor Vehicles and Parts,2028,104,5300
962,Ferrellgas Partners,Energy,Energy,2024,30,4028
963,Dycom Industries,Engineering & Construction,"Engineering, Construction",2022,84,11159
964,IDEX,Industrials,Industrial Machinery,2021,283,6801
965,Bio-Rad Laboratories,Health Care,Medical Products and Equipment,2019,113,7770
966,QEP Resources,Energy,"Mining, Crude-Oil Production",2019,-149,693
967,Griffon,Household Products,"Home Equipment, Furnishings",2016,34,6000
968,American Greetings,Media,"Publishing, Printing",2011,65,17650
969,Tribune Media,Media,Entertainment,2011,-320,8000
970,Rackspace Hosting,Technology,Internet Services and Retailing,2001,126,6189
971,VeriFone Systems,Technology,"Computers, Office Equipment",2001,79,5400
972,Genesee & Wyoming,Transportation,Railroads,2000,225,7500
973,99 Cents Only Stores,Retailing,Specialty Retailers: Other,1999,-232,18200
974,Roadrunner Transportation Systems,Transportation,Transportation and Logistics,1995,48,4502
975,Super Micro Computer,Technology,"Computers, Office Equipment",1991,102,2285
976,First Republic Bank,Financials,Commercial Banks,1989,522,3130
977,Hill-Rom Holdings,Health Care,Medical Products and Equipment,1988,48,10000
978,Providence Service,Health Care,Health Care: Pharmacy and Other Services,1987,84,9072
979,Allison Transmission Holdings,Motor Vehicles & Parts,Motor Vehicles and Parts,1986,182,2700
980,Spire,Energy,Utilities: Gas and Electric,1976,137,3078
981,WPX Energy,Energy,"Mining, Crude-Oil Production",1958,-1727,1040
982,Century Aluminum,Materials,Metals,1950,-59,1778
983,Adams Resources & Energy,Energy,Petroleum Refining,1944,-1,809
984,Nuance Communications,Technology,Computer Software,1931,-115,13500
985,Primoris Services,Engineering & Construction,"Engineering, Construction",1929,37,7011
986,Schnitzer Steel Industries,Materials,Metals,1924,-197,2955
987,Delta Tucker Holdings,Aerospace & Defense,Aerospace and Defense,1923,-133,12000
988,Hospitality Properties Trust,Financials,Real estate,1922,166,400
989,Cenveo,Media,"Publishing, Printing",1921,-31,7300
990,F5 Networks,Technology,Network and Other Communications Equipment,1920,365,4178
991,BlueLinx Holdings,Wholesalers,Wholesalers: Diversified,1917,-12,1600
992,Revlon,Household Products,Household and Personal Products,1914,56,5700
993,DeVry Education Group,Business Services,Education,1910,140,11770
994,MDC Holdings,Engineering & Construction,Homebuilders,1909,66,1225
995,EP Energy,Energy,"Mining, Crude-Oil Production",1908,-3748,665
996,New York Community Bancorp,Financials,Commercial Banks,1902,-47,3448
997,Portland General Electric,Energy,Utilities: Gas and Electric,1898,172,2646
997,Portland General Electric,Energy,Utilities: Gas and Electric,1898,172,2646
999,Wendy’s,"Hotels, Resturants & Leisure",Food Services,1896,161,21200
1000,Briggs & Stratton,Industrials,Industrial Machinery,1895,46,5480
